                  MC6_noScat       MC6_Scat           Diff          Diff%
FLUT[W/m2]           237.721        237.309         -0.412         -0.173%
FLUTC[W/m2]          258.339        258.847          0.508          0.197%
FSNTOA[W/m2]         244.666        244.267         -0.399         -0.163%
FSNTOAC[W/m2]        296.446        296.712          0.266          0.090%
SOLIN[W/m2]          350.468        350.468         -0.000         -0.000%
LWCF[W/m2]            20.618         21.537          0.920          4.461%
SWCF[W/m2]           -51.780        -52.446         -0.665          1.285%
FLNS[W/m2]            53.448         52.948         -0.499         -0.934%
FLNSC[W/m2]           82.012         81.795         -0.217         -0.264%
FLDS[W/m2]           332.860        334.603          1.743          0.524%
FSDS[W/m2]           192.099        191.190         -0.909         -0.473%
FSDSC[W/m2]          254.407        254.157         -0.249         -0.098%
FSNS[W/m2]           166.866        166.244         -0.621         -0.372%
FSNSC[W/m2]          222.578        222.668          0.090          0.040%
SHFLX[W/m2]           18.819         18.348         -0.471         -2.502%
LHFLX[W/m2]           87.300         87.533          0.233          0.267%
TS[K]                285.870        286.174          0.304          0.106%
North Pole
FLUT[W/m2]           175.356        176.771          1.415          0.807%
FLUTC[W/m2]          186.869        189.565          2.696          1.443%
FSNTOA[W/m2]           7.577          7.595          0.018          0.235%
FSNTOAC[W/m2]          9.664          9.773          0.109          1.129%
SOLIN[W/m2]           18.835         18.835         -0.000         -0.000%
LWCF[W/m2]            11.513         12.794          1.280         11.122%
SWCF[W/m2]            -2.087         -2.179         -0.091          4.373%
FLNS[W/m2]            29.425         29.335         -0.090         -0.305%
FLNSC[W/m2]           73.128         75.075          1.947          2.662%
FLDS[W/m2]           202.589        208.275          5.686          2.807%
FSDS[W/m2]             7.398          7.260         -0.138         -1.859%
FSDSC[W/m2]           11.440         11.390         -0.050         -0.440%
FSNS[W/m2]             2.774          2.757         -0.017         -0.614%
FSNSC[W/m2]            4.817          4.884          0.066          1.380%
SHFLX[W/m2]            7.677          8.238          0.561          7.312%
LHFLX[W/m2]           12.084         12.632          0.548          4.534%
TS[K]                251.822        253.390          1.568          0.623%
South Pole
FLUT[W/m2]           205.734        205.213         -0.522         -0.254%
FLUTC[W/m2]          222.353        222.262         -0.092         -0.041%
FSNTOA[W/m2]         205.241        205.392          0.151          0.074%
FSNTOAC[W/m2]        266.801        268.068          1.268          0.475%
SOLIN[W/m2]          441.677        441.677          0.000          0.000%
LWCF[W/m2]            16.619         17.049          0.430          2.587%
SWCF[W/m2]           -61.559        -62.676         -1.117          1.814%
FLNS[W/m2]            44.480         44.508          0.028          0.062%
FLNSC[W/m2]           88.874         89.022          0.149          0.167%
FLDS[W/m2]           243.771        243.663         -0.108         -0.045%
FSDS[W/m2]           245.915        245.363         -0.552         -0.224%
FSDSC[W/m2]          345.494        345.488         -0.006         -0.002%
FSNS[W/m2]           117.353        117.669          0.316          0.269%
FSNSC[W/m2]          188.234        189.753          1.519          0.807%
SHFLX[W/m2]            0.983          0.765         -0.218        -22.155%
LHFLX[W/m2]           11.142         11.096         -0.046         -0.416%
TS[K]                266.218        266.211         -0.007         -0.003%
