                  MC6_noScat       MC6_Scat           Diff          Diff%
FLUT[W/m2]           241.427        241.184         -0.243         -0.101%
FLUTC[W/m2]          263.129        263.659          0.531          0.202%
FSNTOA[W/m2]         232.434        232.559          0.124          0.054%
FSNTOAC[W/m2]        280.826        281.320          0.494          0.176%
SOLIN[W/m2]          330.378        330.378          0.000          0.000%
LWCF[W/m2]            21.701         22.475          0.774          3.565%
SWCF[W/m2]           -48.391        -48.761         -0.370          0.764%
FLNS[W/m2]            54.865         54.274         -0.590         -1.076%
FLNSC[W/m2]           81.843         81.285         -0.558         -0.682%
FLDS[W/m2]           347.044        348.918          1.873          0.540%
FSDS[W/m2]           175.482        174.907         -0.575         -0.327%
FSDSC[W/m2]          233.979        233.631         -0.347         -0.148%
FSNS[W/m2]           155.134        154.995         -0.139         -0.090%
FSNSC[W/m2]          206.523        206.751          0.229          0.111%
SHFLX[W/m2]           21.012         20.866         -0.146         -0.696%
LHFLX[W/m2]           88.591         89.041          0.450          0.508%
TS[K]                289.009        289.251          0.242          0.084%
North Pole
FLUT[W/m2]           220.723        221.757          1.035          0.469%
FLUTC[W/m2]          241.062        242.206          1.144          0.475%
FSNTOA[W/m2]         212.912        216.348          3.436          1.614%
FSNTOAC[W/m2]        297.202        302.991          5.789          1.948%
SOLIN[W/m2]          422.909        422.909          0.000          0.000%
LWCF[W/m2]            20.340         20.449          0.109          0.538%
SWCF[W/m2]           -84.290        -86.642         -2.352          2.791%
FLNS[W/m2]            31.278         31.208         -0.069         -0.222%
FLNSC[W/m2]           82.138         81.466         -0.672         -0.819%
FLDS[W/m2]           303.544        306.394          2.851          0.939%
FSDS[W/m2]           167.300        165.625         -1.675         -1.001%
FSDSC[W/m2]          303.633        302.331         -1.302         -0.429%
FSNS[W/m2]           112.025        115.058          3.033          2.708%
FSNSC[W/m2]          204.693        210.074          5.381          2.629%
SHFLX[W/m2]           10.276         10.643          0.367          3.571%
LHFLX[W/m2]           24.555         25.314          0.759          3.093%
TS[K]                276.998        277.564          0.565          0.204%
South Pole
FLUT[W/m2]           163.915        163.805         -0.110         -0.067%
FLUTC[W/m2]          177.076        177.898          0.823          0.465%
FSNTOA[W/m2]           6.166          6.221          0.054          0.877%
FSNTOAC[W/m2]          8.024          8.181          0.157          1.958%
SOLIN[W/m2]           16.129         16.129          0.000          0.000%
LWCF[W/m2]            13.161         14.094          0.933          7.090%
SWCF[W/m2]            -1.857         -1.960         -0.103          5.546%
FLNS[W/m2]            33.869         33.726         -0.143         -0.423%
FLNSC[W/m2]           71.668         72.377          0.709          0.989%
FLDS[W/m2]           188.760        190.728          1.968          1.043%
FSDS[W/m2]             6.147          6.019         -0.128         -2.089%
FSDSC[W/m2]            9.817          9.787         -0.030         -0.306%
FSNS[W/m2]             2.237          2.286          0.050          2.230%
FSNSC[W/m2]            3.972          4.122          0.150          3.774%
SHFLX[W/m2]           -1.618         -1.050          0.568        -35.095%
LHFLX[W/m2]            9.310         10.208          0.898          9.647%
TS[K]                247.779        248.256          0.477          0.193%
