                    Standard       MC6_Scat           Diff          Diff%
FLUT[W/m2]           237.725        237.309         -0.416         -0.175%
FLUTC[W/m2]          261.552        258.847         -2.706         -1.035%
FSNTOA[W/m2]         245.578        244.267         -1.311         -0.534%
FSNTOAC[W/m2]        297.386        296.712         -0.673         -0.226%
SOLIN[W/m2]          350.468        350.468         -0.000         -0.000%
FLNS[W/m2]            52.445         52.948          0.504          0.961%
FLNSC[W/m2]           81.779         81.795          0.016          0.020%
FLDS[W/m2]           339.116        334.603         -4.513         -1.331%
FSDS[W/m2]           191.547        191.190         -0.356         -0.186%
FSDSC[W/m2]          253.480        254.157          0.677          0.267%
FSNS[W/m2]           167.174        166.244         -0.930         -0.556%
FSNSC[W/m2]          222.812        222.668         -0.144         -0.065%
SHFLX[W/m2]           17.874         18.348          0.473          2.649%
LHFLX[W/m2]           88.709         87.533         -1.176         -1.326%
TS[K]                286.994        286.174         -0.820         -0.286%
North Pole
FLUT[W/m2]           178.433        176.771         -1.662         -0.932%
FLUTC[W/m2]          194.826        189.565         -5.261         -2.700%
FSNTOA[W/m2]           7.713          7.595         -0.118         -1.532%
FSNTOAC[W/m2]         10.023          9.773         -0.250         -2.494%
SOLIN[W/m2]           18.835         18.835         -0.000         -0.000%
FLNS[W/m2]            28.862         29.335          0.473          1.639%
FLNSC[W/m2]           78.637         75.075         -3.562         -4.529%
FLDS[W/m2]           219.557        208.275        -11.282         -5.138%
FSDS[W/m2]             7.021          7.260          0.240          3.416%
FSDSC[W/m2]           11.299         11.390          0.091          0.806%
FSNS[W/m2]             2.825          2.757         -0.068         -2.402%
FSNSC[W/m2]            5.071          4.884         -0.187         -3.685%
SHFLX[W/m2]            9.170          8.238         -0.932        -10.161%
LHFLX[W/m2]           15.025         12.632         -2.393        -15.927%
TS[K]                256.352        253.390         -2.962         -1.155%
South Pole
FLUT[W/m2]           205.187        205.213          0.026          0.013%
FLUTC[W/m2]          224.364        222.262         -2.102         -0.937%
FSNTOA[W/m2]         208.447        205.392         -3.055         -1.466%
FSNTOAC[W/m2]        273.934        268.068         -5.866         -2.141%
SOLIN[W/m2]          441.677        441.677          0.000          0.000%
FLNS[W/m2]            42.381         44.508          2.126          5.018%
FLNSC[W/m2]           89.221         89.022         -0.198         -0.222%
FLDS[W/m2]           249.009        243.663         -5.346         -2.147%
FSDS[W/m2]           242.680        245.363          2.683          1.106%
FSDSC[W/m2]          344.146        345.488          1.342          0.390%
FSNS[W/m2]           120.187        117.669         -2.518         -2.095%
FSNSC[W/m2]          195.151        189.753         -5.398         -2.766%
SHFLX[W/m2]            0.775          0.765         -0.009         -1.224%
LHFLX[W/m2]           11.315         11.096         -0.219         -1.935%
TS[K]                267.003        266.211         -0.792         -0.296%
