                    Standard       MC6_Scat           Diff          Diff%
FLUT[W/m2]           241.220        241.184         -0.036         -0.015%
FLUTC[W/m2]          266.177        263.659         -2.518         -0.946%
FSNTOA[W/m2]         233.563        232.559         -1.004         -0.430%
FSNTOAC[W/m2]        281.971        281.320         -0.651         -0.231%
SOLIN[W/m2]          330.378        330.378          0.000          0.000%
LWCF[W/m2]            24.957         22.475         -2.482         -9.945%
SWCF[W/m2]           -48.408        -48.761         -0.353          0.729%
FLNS[W/m2]            53.659         54.274          0.616          1.148%
FLNSC[W/m2]           80.805         81.285          0.480          0.594%
FLDS[W/m2]           353.399        348.918         -4.481         -1.268%
FSDS[W/m2]           174.958        174.907         -0.051         -0.029%
FSDSC[W/m2]          232.799        233.631          0.832          0.358%
FSNS[W/m2]           155.483        154.995         -0.488         -0.314%
FSNSC[W/m2]          206.756        206.751         -0.005         -0.002%
SHFLX[W/m2]           20.420         20.866          0.446          2.184%
LHFLX[W/m2]           89.838         89.041         -0.798         -0.888%
TS[K]                289.967        289.251         -0.717         -0.247%
North Pole
FLUT[W/m2]           222.523        221.757         -0.766         -0.344%
FLUTC[W/m2]          244.913        242.206         -2.707         -1.105%
FSNTOA[W/m2]         222.153        216.348         -5.805         -2.613%
FSNTOAC[W/m2]        311.366        302.991         -8.376         -2.690%
SOLIN[W/m2]          422.909        422.909          0.000          0.000%
LWCF[W/m2]            22.390         20.449         -1.941         -8.668%
SWCF[W/m2]           -89.213        -86.642          2.571         -2.882%
FLNS[W/m2]            30.665         31.208          0.543          1.772%
FLNSC[W/m2]           80.485         81.466          0.981          1.219%
FLDS[W/m2]           311.807        306.394         -5.412         -1.736%
FSDS[W/m2]           164.940        165.625          0.684          0.415%
FSDSC[W/m2]          300.035        302.331          2.296          0.765%
FSNS[W/m2]           120.223        115.058         -5.165         -4.296%
FSNSC[W/m2]          217.514        210.074         -7.440         -3.420%
SHFLX[W/m2]           11.119         10.643         -0.476         -4.285%
LHFLX[W/m2]           27.354         25.314         -2.040         -7.457%
TS[K]                278.529        277.564         -0.965         -0.346%
South Pole
FLUT[W/m2]           164.145        163.805         -0.341         -0.208%
FLUTC[W/m2]          180.918        177.898         -3.019         -1.669%
FSNTOA[W/m2]           6.416          6.221         -0.196         -3.055%
FSNTOAC[W/m2]          8.669          8.181         -0.488         -5.629%
SOLIN[W/m2]           16.129         16.129          0.000          0.000%
LWCF[W/m2]            16.773         14.094         -2.679        -15.970%
SWCF[W/m2]            -2.252         -1.960          0.292        -12.962%
FLNS[W/m2]            32.652         33.726          1.073          3.287%
FLNSC[W/m2]           73.985         72.377         -1.608         -2.173%
FLDS[W/m2]           196.907        190.728         -6.179         -3.138%
FSDS[W/m2]             5.709          6.019          0.310          5.422%
FSDSC[W/m2]            9.673          9.787          0.114          1.183%
FSNS[W/m2]             2.455          2.286         -0.168         -6.847%
FSNSC[W/m2]            4.566          4.122         -0.444         -9.716%
SHFLX[W/m2]            0.105         -1.050         -1.155      -1096.965%
LHFLX[W/m2]           11.746         10.208         -1.539        -13.099%
TS[K]                249.652        248.256         -1.396         -0.559%
